strike,bid,implied_volatility,last_price,volume,open_interest,expiration,days_to_expiration,rentabilidad_diaria,rentabilidad_anual,break_even,percent_diff,underlying_price,historical_volatility,ticker,grupo,alerta_excluida_por,fecha_ejecucion,iv_minus_hv
35.0,1.27,97.6562734375,1.31,880.0,713,2025-06-27,11,3.414125618973156,204.63963459387355,33.69,12.197028928850663,38.37,72.67,ASTS,Shortlist_ruben,,2025-06-15 15:51:45,24.986273437500003
35.0,1.27,97.6562734375,1.31,880.0,713,2025-06-27,11,3.414125618973156,204.63963459387355,33.69,12.197028928850663,38.37,72.67,ASTS,Shortlist_ruben,,2025-06-15 16:03:58,24.986273437500003
35.0,1.27,97.6562734375,1.31,880.0,713,2025-06-27,11,3.414125618973156,204.63963459387355,33.69,12.197028928850663,38.37,72.67,ASTS,Shortlist_ruben,,2025-06-15 16:14:14,24.986273437500003
35.0,1.27,97.6562734375,1.31,880.0,713,2025-06-27,11,3.414125618973156,204.63963459387355,33.69,12.197028928850663,38.37,72.67,ASTS,Shortlist_ruben,,2025-06-15 16:17:37,24.986273437500003
35.0,1.27,97.6562734375,1.31,880.0,713,2025-06-27,11,3.414125618973156,204.63963459387355,33.69,12.197028928850663,38.37,72.67,ASTS,Shortlist_ruben,,2025-06-15 18:45:56,24.986273437500003
35.0,1.27,97.6562734375,1.31,880.0,713,2025-06-27,11,3.414125618973156,204.63963459387355,33.69,12.197028928850663,38.37,72.67,ASTS,Shortlist_ruben,,2025-06-15 18:51:18,24.986273437500003
35.0,1.27,97.6562734375,1.31,880.0,713,2025-06-27,11,3.414125618973156,204.63963459387355,33.69,12.197028928850663,38.37,72.67,ASTS,Shortlist_ruben,,2025-06-15 18:59:04,24.986273437500003
35.0,1.27,97.6562734375,1.31,880.0,713,2025-06-27,11,3.414125618973156,204.63963459387355,33.69,12.197028928850663,38.37,72.67,ASTS,Shortlist_ruben,,2025-06-15 19:20:07,24.986273437500003
35.0,1.27,97.6562734375,1.31,880.0,713,2025-06-27,11,3.414125618973156,204.63963459387355,33.69,12.197028928850663,38.37,72.67,ASTS,Shortlist_ruben,,2025-06-15 20:20:10,24.986273437500003
35.0,1.27,97.6562734375,1.31,880.0,713,2025-06-27,11,3.414125618973156,204.63963459387355,33.69,12.197028928850663,38.37,72.67,ASTS,Shortlist_ruben,,2025-06-15 20:35:55,24.986273437500003
